replicate,A_rgb_only__auroc,A_rgb_only__pr_auc,A_rgb_only__f1_at_locked_threshold,A_rgb_only__false_match_rate_at_locked_90_recall_threshold,A_rgb_only__achieved_recall_at_locked_90_recall_threshold,B_rgb_2d__auroc,B_rgb_2d__pr_auc,B_rgb_2d__f1_at_locked_threshold,B_rgb_2d__false_match_rate_at_locked_90_recall_threshold,B_rgb_2d__achieved_recall_at_locked_90_recall_threshold,C_rgb_2d_3d__auroc,C_rgb_2d_3d__pr_auc,C_rgb_2d_3d__f1_at_locked_threshold,C_rgb_2d_3d__false_match_rate_at_locked_90_recall_threshold,C_rgb_2d_3d__achieved_recall_at_locked_90_recall_threshold,geometry_only__auroc,geometry_only__pr_auc,geometry_only__f1_at_locked_threshold,geometry_only__false_match_rate_at_locked_90_recall_threshold,geometry_only__achieved_recall_at_locked_90_recall_threshold
820,0.734178785287,0.727532911402,0.659700136302,0.595380667237,0.84,0.831591103507,0.801871028573,0.734693877551,0.388366124893,0.842,0.902313088109,0.887009836743,0.776293823038,0.29255774166,0.892,0.877348160821,0.846991498849,0.780960404381,0.36869118905,0.922
821,0.731074565884,0.743161234892,0.679352997146,0.553626149132,0.83,0.847716036772,0.81848271804,0.784090909091,0.284984678243,0.825,0.907479060266,0.903028459052,0.828264758497,0.228804902962,0.864,0.899345250255,0.891126463094,0.833180568286,0.26557711951,0.904
822,0.699829470199,0.67624161899,0.638605442177,0.620033112583,0.865,0.819949503311,0.774570392628,0.740388768898,0.375,0.848,0.867024834437,0.839504040902,0.754885993485,0.331125827815,0.878,0.852412251656,0.817130658863,0.768385460693,0.368377483444,0.907
823,0.735349358974,0.765545139954,0.684865900383,0.534188034188,0.837,0.842757478632,0.82056315664,0.795518207283,0.304487179487,0.846,0.893846153846,0.896802326049,0.818862935214,0.270299145299,0.865,0.87789957265,0.871438785341,0.824751580849,0.311965811966,0.91
824,0.763610432852,0.80000740053,0.703849950642,0.523862375139,0.835,0.830061043285,0.816767138945,0.782449725777,0.365149833518,0.853,0.894126526082,0.906723104817,0.81183745583,0.285238623751,0.855,0.860379578246,0.858743766526,0.803921568627,0.367369589345,0.897
825,0.810495838288,0.840662601621,0.749619095988,0.455410225922,0.858,0.848083234245,0.851315793401,0.797081623347,0.376932223543,0.873,0.906939357907,0.923028294578,0.825340959085,0.296076099881,0.885,0.852912009512,0.863906663572,0.811811370648,0.403091557669,0.919
826,0.808880136986,0.835229899594,0.746613146011,0.474885844749,0.871,0.844873287671,0.868796920227,0.777003484321,0.461187214612,0.89,0.900480593607,0.917669768462,0.803069053708,0.351598173516,0.902,0.839492009132,0.848168549474,0.793880152996,0.469178082192,0.931
827,0.69731147541,0.671792605396,0.660606060606,0.612021857923,0.888,0.817134790528,0.793666122177,0.743197278912,0.432604735883,0.868,0.854826958106,0.841950928813,0.760505915953,0.377049180328,0.886,0.833821493625,0.810804165442,0.775010552976,0.402550091075,0.913
828,0.751028441411,0.763053561453,0.719689621726,0.544937428896,0.85,0.809613196815,0.810603781511,0.757837346661,0.41638225256,0.831,0.896994311718,0.901897740097,0.820087336245,0.307167235495,0.882,0.867335608646,0.868113992003,0.811924594476,0.390216154721,0.92
829,0.74798656215,0.762527789082,0.703018500487,0.53751399776,0.838,0.800340425532,0.789002400651,0.761818181818,0.40313549832,0.835,0.878209406495,0.886277524521,0.805274725275,0.30235162374,0.84,0.849683090705,0.853173468679,0.793041926851,0.381858902576,0.883
