dataset,stratum_variable,stratum_level,system,pairs,positives,negatives,auroc,pr_auc,false_match_rate,recall,threshold_source
movi_e,temporal_gap,high,C_camera_geometry,665,333,332,0.9830221788053113,0.9842472227623483,0.009036144578313253,0.8498498498498499,development_locked_90_recall
movi_e,temporal_gap,high,D_pose_aligned_geometry,665,333,332,0.9893538116429683,0.990647447712303,0.0030120481927710845,0.8798798798798799,development_locked_90_recall
movi_e,temporal_gap,high,G_camera_geometry_only,665,333,332,0.973090560439958,0.9757694318133597,0.024096385542168676,0.8558558558558559,development_locked_90_recall
movi_e,temporal_gap,high,G_pose_aligned_geometry_only,665,333,332,0.9850935272622019,0.9862882966260103,0.024096385542168676,0.8678678678678678,development_locked_90_recall
movi_e,temporal_gap,high,P_pose_only,665,333,332,0.49562665074713264,0.49717538479772727,0.7198795180722891,0.7117117117117117,development_locked_90_recall
movi_e,temporal_gap,high,S_shuffled_pose,665,333,332,0.9797206845399616,0.9819499707349785,0.024096385542168676,0.8678678678678678,development_locked_90_recall
movi_e,temporal_gap,low,A_rgb,668,334,334,0.9855677865825236,0.9872978718244731,0.1407185628742515,0.9670658682634731,development_locked_90_recall
movi_e,temporal_gap,low,B_rgb_2d,668,334,334,0.9945498225106673,0.9947325032398161,0.029940119760479042,0.9461077844311377,development_locked_90_recall
movi_e,temporal_gap,low,C_camera_geometry,668,334,334,0.9982519989960199,0.9982575507702205,0.005988023952095809,0.9610778443113772,development_locked_90_recall
movi_e,temporal_gap,low,D_pose_aligned_geometry,668,334,334,0.9988884506436229,0.9988914867227601,0.005988023952095809,0.9550898203592815,development_locked_90_recall
movi_e,temporal_gap,low,G_camera_geometry_only,668,334,334,0.9980099680877765,0.997940801672987,0.008982035928143712,0.9640718562874252,development_locked_90_recall
movi_e,temporal_gap,low,G_pose_aligned_geometry_only,668,334,334,0.9987002043816559,0.9986727463495938,0.005988023952095809,0.9550898203592815,development_locked_90_recall
movi_e,temporal_gap,low,P_pose_only,668,334,334,0.5060059521675213,0.501947971589825,0.9940119760479041,0.9880239520958084,development_locked_90_recall
movi_e,temporal_gap,low,S_shuffled_pose,668,334,334,0.9982071784574564,0.9982111482111171,0.020958083832335328,0.9580838323353293,development_locked_90_recall
movi_e,temporal_gap,medium,A_rgb,667,333,334,0.949236661811512,0.9600251065690535,0.17065868263473055,0.9009009009009009,development_locked_90_recall
movi_e,temporal_gap,medium,B_rgb_2d,667,333,334,0.976443509377641,0.9818757600036413,0.04491017964071856,0.8918918918918919,development_locked_90_recall
movi_e,temporal_gap,medium,C_camera_geometry,667,333,334,0.9873765981550413,0.9895618956969826,0.011976047904191617,0.9069069069069069,development_locked_90_recall
movi_e,temporal_gap,medium,D_pose_aligned_geometry,667,333,334,0.9918631206056356,0.9930836231162118,0.011976047904191617,0.9129129129129129,development_locked_90_recall
movi_e,temporal_gap,medium,G_camera_geometry_only,667,333,334,0.9828810846774918,0.985600439957666,0.029940119760479042,0.9069069069069069,development_locked_90_recall
movi_e,temporal_gap,medium,G_pose_aligned_geometry_only,667,333,334,0.9898671126216037,0.9909232922091447,0.017964071856287425,0.9219219219219219,development_locked_90_recall
movi_e,temporal_gap,medium,P_pose_only,667,333,334,0.49732067396738056,0.5024001169780827,0.907185628742515,0.8978978978978979,development_locked_90_recall
movi_e,temporal_gap,medium,S_shuffled_pose,667,333,334,0.9859200517883152,0.9882554993677501,0.014970059880239521,0.9009009009009009,development_locked_90_recall
movi_e,minimum_visibility,high,A_rgb,607,360,247,0.9754498425551057,0.9831735098642775,0.08097165991902834,0.9166666666666666,development_locked_90_recall
